Date,"BURNED CALORIES" (kcal),"CALORIE DEFICIT" (kcal),"DISTANCE (R+W)" (km),"DOUBLE SUPPORT TIME" (%),"FLIGHTS CLIMBED","NET CALORIES" (kcal),"RESTING CALORIES" (kcal),"SLEEP","STEP LENGTH" (in),"STEPS","TOTAL CALORIES" (kcal),"WALKING ASYMMETRY" (%)
"17/02/2024","46.9","2046.9","1.64","27.1 - 34.8","4","1398.54","1351.65","6h 21m","20.47 - 32.68","2537","1398.54","0.22"
"18/02/2024","0.65","2000.65","0.09",,,"1350","1349.35","6h 39m",,"133","1350",
"19/02/2024","229.02","2229.02","7","25.2 - 35.1","7","1591.15","1362.14","5h 29m","19.69 - 29.53","9544","1591.15","2.17"
"20/02/2024","14.83","2014.83","0.5","29.3 - 31.9","2","1364.37","1349.54","6h 11m","20.47 - 24.8","725","1364.37",
"21/02/2024","6.32","2006.32","0.27","30.4 - 31.6",,"1356.23","1349.91","3h 5m","23.23 - 23.62","443","1356.23",
"22/02/2024","295.07","2295.07","9.05","24.9 - 31.8","7","1661.8","1366.73","4h 36m","21.65 - 29.13","12334","1661.8","0.34"
"23/02/2024","6.6","2006.6","0.2",,"2","1356.16","1349.55","4h 49m",,"299","1356.16",
"24/02/2024","64.09","2064.09","2.07","26 - 31.9","2","1416.74","1352.65","6h 28m","23.62 - 27.56","2831","1416.74","0.11"
"25/02/2024","0.56","2000.56","0.08",,,"1349.93","1349.37","6h 32m",,"127","1349.93",
"26/02/2024","273.99","2273.99","9.04","25.2 - 34.5","5","1640.27","1366.28","5h 48m","20.47 - 31.89","12561","1640.27","1.15"
"27/02/2024","438.37","2438.37","12.96","23.9 - 32.5","14","1812.46","1374.09","6h 39m","21.26 - 31.5","18755","1812.46","0.61"
"28/02/2024","13.92","2013.92","0.34","30 - 33.7","4","1363.69","1349.78","6h 57m","19.69 - 24.8","484","1363.69",
"29/02/2024","19.66","2019.66","0.51","28.7 - 32.5","2","1369.87","1350.22","7h 29m","21.65 - 24.41","722","1369.87",
"01/03/2024","13.2","2013.2","0.33","28.8 - 30.9","5","1363","1349.79","7h 5m","18.5 - 26.77","488","1363",
"02/03/2024","41.03","2041.03","1.44","27.9 - 34.5","3","1392.27","1351.24","4h 50m","18.9 - 24.02","2039","1392.27","1"
"03/03/2024","23.11","2023.11","0.69","27.4 - 31.3","2","1374.3","1351.18","5h 51m","22.83 - 25.59","959","1374.3",
"04/03/2024","280.48","2280.48","8.14","24.8 - 35.8","7","1646.04","1365.55","5h 48m","18.9 - 30.31","11632","1646.04","0.72"
"05/03/2024","181.97","2181.97","5.38","26.5 - 33.9","5","1544.24","1362.27","4h 51m","21.65 - 27.95","7638","1544.24","0.77"
